Date,Open,High,Low,Close,Adj Close,Volume,Stock
2018-08-16,228000.0,232500.0,226000.0,232500.0,212136.046875,143166,"Hyundai Mobis Co.,Ltd (012330.KS)"
2018-08-17,229500.0,232500.0,226500.0,232000.0,211679.875,81940,"Hyundai Mobis Co.,Ltd (012330.KS)"
2018-08-20,234000.0,235000.0,232000.0,235000.0,214417.109375,105324,"Hyundai Mobis Co.,Ltd (012330.KS)"
2018-08-21,233000.0,235000.0,230000.0,231000.0,210767.4375,142076,"Hyundai Mobis Co.,Ltd (012330.KS)"
2018-08-22,230500.0,232000.0,228000.0,229500.0,209398.8125,135387,"Hyundai Mobis Co.,Ltd (012330.KS)"
2018-08-23,231000.0,231000.0,228000.0,230000.0,209855.046875,136096,"Hyundai Mobis Co.,Ltd (012330.KS)"
2018-08-24,230000.0,232500.0,228000.0,232000.0,211679.875,164608,"Hyundai Mobis Co.,Ltd (012330.KS)"
2018-08-27,231000.0,232500.0,229000.0,230000.0,209855.046875,132308,"Hyundai Mobis Co.,Ltd (012330.KS)"
2018-08-28,231000.0,232500.0,229000.0,231000.0,210767.4375,137576,"Hyundai Mobis Co.,Ltd (012330.KS)"
2018-08-29,231000.0,231000.0,224500.0,226500.0,206661.578125,119997,"Hyundai Mobis Co.,Ltd (012330.KS)"
2018-08-30,226500.0,227000.0,222000.0,223000.0,203468.15625,119006,"Hyundai Mobis Co.,Ltd (012330.KS)"
2018-08-31,225000.0,226500.0,222000.0,224000.0,204380.546875,137691,"Hyundai Mobis Co.,Ltd (012330.KS)"
2018-09-03,223500.0,228000.0,223500.0,226500.0,206661.578125,92301,"Hyundai Mobis Co.,Ltd (012330.KS)"
2018-09-04,225000.0,228000.0,223000.0,226500.0,206661.578125,103520,"Hyundai Mobis Co.,Ltd (012330.KS)"
2018-09-05,226500.0,229500.0,224000.0,226500.0,206661.578125,156231,"Hyundai Mobis Co.,Ltd (012330.KS)"
