Open,High,Low,Close,Volume,Dividends,Stock Splits
95.70999908447266,100.91999816894531,95.36000061035156,99.29000091552734,116734100,0.0,0.0
94.83000183105469,98.7699966430664,93.62000274658203,98.08999633789062,131142000,0.0,0.0
97.5,104.58999633789062,97.26000213623047,103.91000366210938,125855800,0.0,0.0
101.05000305175781,103.86000061035156,100.9800033569336,102.30999755859375,93859900,0.0,0.0
100.05999755859375,101.80000305175781,97.98999786376953,100.06999969482422,92606800,0.0,0.0
97.94999694824219,98.05000305175781,93.66999816894531,95.54000091552734,89473700,0.0,0.0
98.44999694824219,99.3499984741211,95.61000061035156,99.05000305175781,83416100,0.0,0.0
99.93000030517578,102.37000274658203,98.0,98.12000274658203,77516900,0.0,0.0
99.19999694824219,101.4000015258789,98.4800033569336,100.83000183105469,72316300,0.0,0.0
100.51000213623047,101.8499984741211,99.80000305175781,101.01000213623047,61327100,0.0,0.0
100.83999633789062,101.44999694824219,98.31999969482422,100.19999694824219,60220700,0.0,0.0
99.26000213623047,99.63999938964844,96.7300033569336,98.2699966430664,63735600,0.0,0.0
97.73999786376953,101.06999969482422,96.7300033569336,100.44000244140625,76059500,0.0,0.0
98.66999816894531,99.25,94.58999633789062,95.94999694824219,67221700,0.0,0.0
94.4000015258789,95.0199966430664,92.36000061035156,92.83999633789062,61837300,0.0,0.0
92.38999938964844,94.44000244140625,92.11000061035156,92.48999786376953,52927000,0.0,0.0
92.20999908447266,93.37999725341797,90.9000015258789,92.7300033569336,56520400,0.0,0.0
93.13999938964844,97.56999969482422,93.13999938964844,97.18000030517578,61016200,0.0,0.0
96.29000091552734,97.5999984741211,91.12000274658203,91.18000030517578,65552500,0.0,0.0
90.05000305175781,91.19000244140625,88.26000213623047,88.48999786376953,61142500,0.0,0.0
90.05999755859375,90.1500015258789,85.33999633789062,86.94000244140625,69087100,0.0,0.0
86.27999877929688,86.72000122070312,83.72000122070312,84.87000274658203,64991700,0.0,0.0
82.3499984741211,82.76000213623047,78.5199966430664,82.33000183105469,94854700,0.0,0.0
83.31999969482422,83.6500015258789,79.80999755859375,80.23999786376953,84924400,0.0,0.0
80.41000366210938,80.88999938964844,78.37000274658203,78.72000122070312,68727300,0.0,0.0
79.23999786376953,80.25,77.73999786376953,79.61000061035156,67891200,0.0,0.0
80.02999877929688,83.44999694824219,79.23999786376953,82.77999877929688,89089300,0.0,0.0
84.02999877929688,85.68000030517578,83.83999633789062,85.44999694824219,68907700,0.0,0.0
84.88999938964844,85.3499984741211,83.45999908447266,84.63999938964844,71922500,0.0,0.0
80.95999908447266,81.47000122070312,76.80000305175781,77.02999877929688,80921200,0.0,0.0
77.0999984741211,78.08000183105469,75.87000274658203,77.44999694824219,71483000,0.0,0.0
76.63999938964844,77.97000122070312,74.91000366210938,76.66000366210938,81818000,0.0,0.0
75.62000274658203,76.81999969482422,74.68000030517578,76.51000213623047,75300200,0.0,0.0
75.38999938964844,77.33999633789062,75.3499984741211,76.7699966430664,64966900,0.0,0.0
76.08000183105469,76.58000183105469,74.7300033569336,75.25,51129100,0.0,0.0
75.44000244140625,78.41000366210938,74.44999694824219,74.4800033569336,82069700,0.0,0.0
73.88999938964844,74.29000091552734,69.16999816894531,69.5,101436900,0.0,0.0
68.0,69.08000183105469,66.81999969482422,67.95999908447266,87690000,0.0,0.0
67.87000274658203,68.73999786376953,66.25,66.30000305175781,82898700,0.0,0.0
67.9000015258789,68.77999877929688,66.0,67.16999816894531,94871800,0.0,0.0
67.11000061035156,68.80000305175781,66.55999755859375,68.36000061035156,72389500,0.0,0.0
67.1500015258789,67.19999694824219,62.83000183105469,64.13999938964844,102552400,0.0,0.0
63.619998931884766,65.91000366210938,63.34000015258789,63.36000061035156,81664100,0.0,0.0
64.45999908447266,66.91000366210938,63.38999938964844,66.11000061035156,83841600,0.0,0.0
68.2699966430664,69.18000030517578,67.33000183105469,67.9000015258789,77160500,0.0,0.0
66.58999633789062,68.69000244140625,64.5199966430664,67.94000244140625,87127400,0.0,0.0
67.81999969482422,70.29000091552734,67.66000366210938,67.8499984741211,98325900,0.0,0.0
64.01000213623047,64.02999877929688,58.220001220703125,58.439998626708984,163786300,0.0,0.0
57.310001373291016,58.790000915527344,56.29999923706055,57.810001373291016,112241800,0.0,0.0
57.209999084472656,58.91999816894531,56.04999923706055,57.630001068115234,114054800,0.0,0.0
57.45000076293945,58.31999969482422,56.31999969482422,57.849998474121094,89264200,0.0,0.0
55.52000045776367,60.13999938964844,54.56999969482422,58.939998626708984,131159800,0.0,0.0
59.599998474121094,59.939998626708984,55.84000015258789,55.939998626708984,96959300,0.0,0.0
57.349998474121094,58.5099983215332,57.099998474121094,57.959999084472656,76977600,0.0,0.0
59.90999984741211,60.4900016784668,56.400001525878906,57.91999816894531,103064500,0.0,0.0
57.33000183105469,59.040000915527344,56.56999969482422,57.22999954223633,75704800,0.0,0.0
57.470001220703125,60.20000076293945,57.400001525878906,57.77000045776367,79552600,0.0,0.0
57.220001220703125,58.90999984741211,55.709999084472656,58.81999969482422,95366400,0.0,0.0
58.56999969482422,59.0,56.65999984741211,58.70000076293945,76305400,0.0,0.0
58.77000045776367,61.97999954223633,58.689998626708984,61.470001220703125,85501900,0.0,0.0
59.689998626708984,61.77000045776367,59.150001525878906,59.72999954223633,79761600,0.0,0.0
61.599998474121094,62.720001220703125,58.5099983215332,58.599998474121094,83871400,0.0,0.0
59.099998474121094,62.349998474121094,58.91999816894531,62.0099983215332,78198600,0.0,0.0
60.75,61.86000061035156,59.529998779296875,60.060001373291016,73274100,0.0,0.0
