Date,Open,High,Low,Close,Adj Close,Volume,Stock
2018-08-23,7358.396199999999,7371.845289659999,7255.287020680001,7269.632979319999,5347.820371639999,1647901.0,Bayerische Motoren Werke Aktiengesellschaft (BMW.DE)
2018-08-24,7270.52904136,7314.462979319999,7240.94177932,7288.46148966,5361.67033116,1009129.0,Bayerische Motoren Werke Aktiengesellschaft (BMW.DE)
2018-08-27,7361.085820679999,7471.367979319999,7352.12,7458.81557932,5486.98954772,1772323.0,Bayerische Motoren Werke Aktiengesellschaft (BMW.DE)
2018-08-28,7499.16231034,7640.82528966,7488.40293102,7566.40731034,5566.13915422,1976748.0,Bayerische Motoren Werke Aktiengesellschaft (BMW.DE)
2018-08-29,7595.99528966,7602.27148966,7488.40293102,7552.06206898,5555.584916979999,1050776.0,Bayerische Motoren Werke Aktiengesellschaft (BMW.DE)
2018-08-30,7547.5788,7688.344999999999,7457.02202068,7585.23582068,5579.98983102,1848549.0,Bayerische Motoren Werke Aktiengesellschaft (BMW.DE)
2018-08-31,7500.95595864,7529.647068979999,7460.608510339999,7478.54095864,5501.5003911,1853265.0,Bayerische Motoren Werke Aktiengesellschaft (BMW.DE)
2018-09-03,7437.296731019999,7441.78,7365.569179319999,7422.95148966,5460.60709272,1146980.0,Bayerische Motoren Werke Aktiengesellschaft (BMW.DE)
2018-09-04,7446.26326898,7446.26326898,7301.910579320001,7341.36053102,5400.5853713,1574985.0,Bayerische Motoren Werke Aktiengesellschaft (BMW.DE)
2018-09-05,7325.221731019999,7361.98268966,7265.14971034,7284.875,5359.03226498,1615229.0,Bayerische Motoren Werke Aktiengesellschaft (BMW.DE)
2018-09-06,7271.42582068,7337.7740413599995,7211.353800000001,7238.252068979999,5324.73426654,1737455.0,Bayerische Motoren Werke Aktiengesellschaft (BMW.DE)
2018-09-07,7239.14822068,7279.495579320001,7214.04351034,7268.736199999999,5347.15984642,1155513.0,Bayerische Motoren Werke Aktiengesellschaft (BMW.DE)
2018-09-10,7262.46,7307.29,7220.31971034,7271.42582068,5349.139180579999,1015191.0,Bayerische Motoren Werke Aktiengesellschaft (BMW.DE)
